device_id,device_first_seen_at,os_type,os_version,app_version,biometric_capable_flag,device_status,rooted_or_compromised_flag,emulator_flag
D000001,2024-11-01 15:01:00,android,17,12.3.2,True,active,False,False
D000002,2024-11-14 16:35:00,ios,17.4,13.0.1,True,active,True,False
D000003,2023-10-01 12:42:00,ios,14,13.0.1,True,active,False,False
D000004,2023-01-10 22:39:00,android,14,12.3.2,True,active,False,False
D000005,2024-05-13 06:09:00,android,14,12.1.0,True,active,False,False
D000006,2026-03-21 07:11:00,ios,15,12.3.2,True,active,False,False
D000007,2024-12-07 00:52:00,ios,17,12.3.2,True,active,False,False
D000008,2024-07-27 10:24:00,ios,15,13.0.1,True,active,False,False
D000009,2023-02-06 16:16:00,ios,15,12.3.2,True,active,False,False
D000010,2024-05-03 21:59:00,android,14,13.0.1,True,active,False,False
D000011,2023-02-28 15:51:00,android,15,12.1.0,True,active,False,False
D000012,2025-12-08 11:41:00,android,16,12.1.0,True,replaced,False,False
D000013,2024-12-20 09:17:00,android,15,12.1.0,True,active,False,False
D000014,2023-06-23 03:00:00,android,14,12.1.0,True,active,False,False
D000015,2025-08-14 17:32:00,ios,16,12.3.2,True,active,False,False
D000016,2023-01-10 01:48:00,android,17,12.1.0,True,active,False,False
D000017,2024-03-31 02:07:00,android,17,12.3.2,True,active,False,False
D000018,2026-02-20 05:04:00,ios,17.4,13.0.1,True,active,False,False
D000019,2025-04-03 13:49:00,android,14,12.1.0,True,inactive,False,False
D000020,2023-10-24 15:40:00,android,17,12.1.0,True,active,False,False
D000021,2023-08-25 15:54:00,ios,17,12.1.0,True,active,False,False
D000022,2025-03-23 13:27:00,ios,17,13.0.1,False,active,False,False
D000023,2024-12-27 03:24:00,android,17,12.1.0,True,active,False,False
D000024,2025-01-01 12:48:00,ios,17,13.0.1,True,active,False,False
D000025,2024-07-25 08:55:00,ios,17.4,12.3.2,True,active,False,False
D000026,2024-05-23 02:12:00,android,16,12.1.0,True,replaced,False,False
D000027,2024-07-14 07:07:00,ios,16,12.1.0,False,active,False,False
D000028,2023-11-24 17:13:00,android,17.4,12.3.2,True,active,False,False
D000029,2026-01-31 08:50:00,android,17.4,12.3.2,False,inactive,False,False
D000030,2023-02-07 18:06:00,android,15,13.0.1,True,active,False,False
D000031,2023-01-17 08:09:00,android,17.4,12.3.2,True,active,True,False
D000032,2024-06-17 09:20:00,ios,15,13.0.1,True,active,False,False
D000033,2026-04-04 09:12:00,android,16,12.3.2,True,active,False,False
D000034,2025-11-23 10:07:00,android,17,12.3.2,True,active,False,False
D000035,2024-11-10 02:36:00,ios,14,12.1.0,True,active,False,False
D000036,2025-02-22 11:33:00,android,17.4,12.3.2,True,active,False,False
D000037,2026-01-01 09:00:00,android,16,12.3.2,False,active,False,False
D000038,2023-09-12 11:46:00,ios,16,12.1.0,True,active,False,False
D000039,2025-11-11 16:30:00,ios,14,12.1.0,True,active,False,False
D000040,2026-04-04 02:50:00,ios,17,13.0.1,True,active,False,False
D000041,2024-06-20 07:45:00,ios,17,12.1.0,True,active,False,False
D000042,2024-07-30 12:15:00,ios,16,12.1.0,True,active,False,False
D000043,2023-03-21 03:54:00,ios,15,12.3.2,True,replaced,False,False
D000044,2023-08-02 06:09:00,android,16,12.1.0,True,active,False,False
D000045,2024-03-01 23:39:00,android,14,12.3.2,False,active,False,False
D000046,2023-01-27 10:24:00,ios,16,13.0.1,True,active,False,False
D000047,2023-02-04 02:13:00,ios,17.4,12.1.0,True,active,False,False
D000048,2025-07-02 07:43:00,android,16,13.0.1,True,active,False,False
D000049,2025-12-12 08:35:00,android,15,12.3.2,True,replaced,False,False
D000050,2024-06-07 21:38:00,ios,14,13.0.1,True,active,False,False
D000051,2023-04-27 02:42:00,android,16,12.1.0,True,active,False,False
D000052,2023-07-30 19:44:00,ios,16,12.1.0,True,active,False,False
D000053,2024-01-08 00:56:00,ios,14,13.0.1,True,active,True,False
D000054,2025-11-23 14:00:00,android,16,12.1.0,True,active,False,False
D000055,2024-11-18 07:45:00,android,17.4,12.3.2,True,active,False,False
D000056,2025-03-05 01:34:00,ios,17.4,12.3.2,True,active,False,False
D000057,2024-05-01 06:03:00,android,17.4,13.0.1,True,active,False,False
D000058,2024-12-21 02:33:00,android,15,13.0.1,True,active,False,False
D000059,2024-11-08 11:16:00,android,15,13.0.1,True,active,False,False
D000060,2025-07-15 00:52:00,ios,14,12.3.2,True,active,False,False
D000061,2025-12-25 02:41:00,ios,15,13.0.1,True,active,False,False
D000062,2025-05-25 23:20:00,android,14,12.1.0,True,active,False,False
D000063,2024-05-04 11:17:00,android,15,13.0.1,True,active,False,False
D000064,2024-07-06 23:47:00,android,14,12.3.2,True,active,False,False
D000065,2023-11-12 07:54:00,android,15,12.1.0,True,active,False,False
D000066,2026-04-09 20:22:00,android,14,12.3.2,True,active,False,False
D000067,2023-10-11 20:17:00,ios,16,12.1.0,True,active,False,False
D000068,2024-09-05 21:45:00,ios,14,13.0.1,True,active,False,False
D000069,2025-02-11 10:42:00,android,17,13.0.1,True,inactive,False,False
D000070,2024-04-20 08:59:00,android,17,13.0.1,True,active,False,False
D000071,2023-08-05 06:00:00,ios,14,12.3.2,False,active,False,True
D000072,2024-08-24 20:44:00,ios,15,12.3.2,True,active,True,False
D000073,2024-01-12 15:24:00,android,17.4,13.0.1,True,flagged,False,False
D000074,2023-03-15 05:02:00,android,17,12.1.0,True,active,False,False
D000075,2023-02-17 00:29:00,android,14,12.1.0,True,active,False,False
D000076,2025-10-09 18:49:00,ios,17,12.1.0,True,active,False,False
D000077,2025-01-28 03:49:00,android,17,12.3.2,True,active,False,False
D000078,2023-12-12 08:20:00,android,16,13.0.1,True,active,False,False
D000079,2024-06-23 11:12:00,ios,16,12.3.2,True,active,False,False
D000080,2025-02-07 16:37:00,android,17,13.0.1,True,active,False,False
D000081,2024-09-11 03:31:00,ios,14,12.1.0,True,active,False,False
D000082,2024-09-19 08:23:00,android,17.4,13.0.1,False,active,False,False
D000083,2023-06-29 12:21:00,ios,16,12.1.0,True,active,False,False
D000084,2025-07-25 03:29:00,ios,15,12.1.0,True,active,False,False
D000085,2025-03-29 23:44:00,ios,16,13.0.1,True,active,False,False
D000086,2026-03-18 00:31:00,ios,17,12.3.2,True,active,False,False
D000087,2024-09-23 19:25:00,ios,17.4,13.0.1,True,active,False,False
D000088,2024-09-11 01:40:00,android,15,12.1.0,True,active,False,False
D000089,2025-03-16 09:36:00,ios,17,12.1.0,True,active,False,False
D000090,2025-06-02 23:02:00,android,17.4,12.1.0,False,active,False,False
D000091,2025-10-19 11:10:00,android,17,12.1.0,True,active,False,False
D000092,2025-07-29 01:15:00,android,17.4,12.1.0,True,active,False,False
D000093,2025-11-02 02:25:00,ios,15,12.1.0,True,active,False,False
D000094,2024-05-11 09:05:00,ios,15,12.3.2,True,active,False,True
D000095,2024-09-26 10:23:00,android,17,12.1.0,True,active,False,False
D000096,2024-04-16 22:42:00,android,16,12.3.2,True,active,False,False
D000097,2023-09-23 02:52:00,ios,15,12.1.0,True,inactive,False,False
D000098,2024-12-27 03:35:00,ios,15,12.3.2,True,flagged,False,False
D000099,2026-03-08 04:21:00,ios,17,12.3.2,True,replaced,False,False
D000100,2026-01-27 09:14:00,ios,17.4,13.0.1,True,active,False,False
D000101,2025-12-07 02:25:00,android,16,13.0.1,True,active,False,False
D000102,2023-05-19 09:38:00,android,14,13.0.1,True,active,False,False
