session_id,scenario_name,user_id,device_id,service_id,authenticated_flag,login_stage_suspicious
SE000001,normal_returning_login_and_normal_usage,U000001,D000001,S0010,True,False
SE000002,legitimate_first_time_or_infrequent_service_usage,U000001,D000001,S0010,True,False
SE000003,social_engineering_or_malicious_approval,U000001,D000001,S0006,True,True
SE000004,normal_returning_login_and_normal_usage,U000001,D000001,S0002,True,False
SE000005,normal_returning_login_and_normal_usage,U000002,D000004,S0009,True,False
SE000006,normal_returning_login_and_normal_usage,U000002,D000003,S0008,True,False
SE000007,normal_returning_login_and_normal_usage,U000002,D000004,S0002,True,False
SE000008,social_engineering_or_malicious_approval,U000002,D000002,S0010,True,False
SE000009,relinquished_account_access_and_operation,U000002,D000002,S0012,True,False
SE000010,legitimate_travel_or_device_change_login,U000002,D000004,S0004,True,False
SE000011,normal_returning_login_and_normal_usage,U000002,D000003,S0010,True,False
SE000012,legitimate_travel_or_device_change_login,U000002,D000004,S0009,True,False
SE000013,normal_returning_login_and_normal_usage,U000003,D000005,S0012,True,False
SE000014,legitimate_first_time_or_infrequent_service_usage,U000003,D000005,S0006,True,False
SE000015,normal_returning_login_and_normal_usage,U000003,D000005,S0010,True,False
SE000016,normal_returning_login_and_normal_usage,U000003,D000005,S0005,True,False
SE000017,normal_returning_login_and_normal_usage,U000003,D000005,S0002,True,False
SE000018,normal_returning_login_and_normal_usage,U000003,D000005,S0012,True,False
SE000019,normal_returning_login_and_normal_usage,U000003,D000005,S0011,True,False
SE000020,normal_returning_login_and_normal_usage,U000003,D000005,S0011,True,False
SE000021,normal_returning_login_and_normal_usage,U000003,D000005,S0009,True,False
SE000022,legitimate_travel_or_device_change_login,U000003,D000005,S0009,True,False
SE000023,normal_returning_login_and_normal_usage,U000003,D000005,S0005,True,False
SE000024,legitimate_travel_or_device_change_login,U000004,D000006,S0002,True,False
SE000025,normal_returning_login_and_normal_usage,U000004,D000006,S0007,True,False
SE000026,normal_returning_login_and_normal_usage,U000004,D000006,S0001,True,False
SE000027,remote_control_or_device_compromise_access,U000004,D000006,S0010,True,True
SE000028,repeated_attempts_before_success,U000004,D000006,S0002,False,True
SE000029,normal_returning_login_and_normal_usage,U000004,D000006,S0005,True,False
SE000030,normal_returning_login_and_normal_usage,U000004,D000006,S0003,True,False
SE000031,normal_returning_login_and_normal_usage,U000004,D000006,S0006,True,False
SE000032,social_engineering_or_malicious_approval,U000004,D000006,S0001,True,False
SE000033,remote_control_or_device_compromise_access,U000004,D000006,S0010,True,True
SE000034,normal_returning_login_and_normal_usage,U000004,D000006,S0006,True,False
SE000035,normal_returning_login_and_normal_usage,U000005,D000007,S0004,True,False
SE000036,legitimate_travel_or_device_change_login,U000005,D000007,S0001,True,False
SE000037,normal_returning_login_and_normal_usage,U000005,D000007,S0003,True,False
SE000038,normal_returning_login_and_normal_usage,U000005,D000007,S0005,True,False
SE000039,normal_returning_login_and_normal_usage,U000005,D000007,S0005,True,False
SE000040,remote_control_or_device_compromise_access,U000005,D000007,S0006,True,True
SE000041,normal_returning_login_and_normal_usage,U000005,D000007,S0005,True,False
SE000042,normal_returning_login_and_normal_usage,U000005,D000007,S0008,True,False
SE000043,normal_returning_login_and_normal_usage,U000006,D000008,S0004,True,False
SE000044,normal_returning_login_and_normal_usage,U000006,D000008,S0010,True,False
SE000045,normal_returning_login_and_normal_usage,U000006,D000009,S0005,True,False
SE000046,remote_control_or_device_compromise_access,U000006,D000009,S0010,True,True
SE000047,legitimate_travel_or_device_change_login,U000007,D000010,S0003,True,False
SE000048,suspicious_downstream_misuse_after_successful_access,U000007,D000010,S0008,True,False
SE000049,normal_returning_login_and_normal_usage,U000007,D000010,S0011,True,False
SE000050,normal_returning_login_and_normal_usage,U000007,D000010,S0001,True,False
SE000051,legitimate_first_time_or_infrequent_service_usage,U000007,D000010,S0009,True,False
SE000052,normal_returning_login_and_normal_usage,U000007,D000010,S0006,True,False
