session_id,user_id,device_id,service_id,session_start_at,session_end_at,session_status,login_method,authenticated_flag
SE000001,U000001,D000001,S0010,2025-11-19 15:26:00,2025-11-19 15:30:00,completed,app_login,True
SE000002,U000001,D000001,S0010,2026-03-18 15:04:00,2026-03-18 15:38:00,completed,app_login,True
SE000003,U000001,D000001,S0006,2026-02-24 02:46:00,2026-02-24 03:07:00,completed,qr_login,True
SE000004,U000001,D000001,S0002,2026-04-07 19:42:00,2026-04-07 19:49:00,completed,app_login,True
SE000005,U000002,D000004,S0009,2025-10-29 11:47:00,2025-10-29 11:49:00,completed,face_verification,True
SE000006,U000002,D000003,S0008,2026-03-12 16:16:00,2026-03-12 16:54:00,completed,app_login,True
SE000007,U000002,D000004,S0002,2026-03-07 22:48:00,2026-03-07 23:25:00,completed,qr_login,True
SE000008,U000002,D000002,S0010,2025-10-21 01:38:00,2025-10-21 01:47:00,completed,app_login,True
SE000009,U000002,D000002,S0012,2025-11-21 21:45:00,2025-11-21 22:08:00,completed,qr_login,True
SE000010,U000002,D000004,S0004,2025-12-26 19:55:00,2025-12-26 20:33:00,completed,qr_login,True
SE000011,U000002,D000003,S0010,2026-03-10 16:31:00,2026-03-10 17:08:00,completed,app_login,True
SE000012,U000002,D000004,S0009,2026-03-10 16:12:00,2026-03-10 16:53:00,completed,app_login,True
SE000013,U000003,D000005,S0012,2026-02-05 23:01:00,2026-02-05 23:37:00,completed,app_login,True
SE000014,U000003,D000005,S0006,2026-03-30 21:58:00,2026-03-30 21:59:00,completed,qr_login,True
SE000015,U000003,D000005,S0010,2025-12-05 00:44:00,2025-12-05 01:22:00,completed,qr_login,True
SE000016,U000003,D000005,S0005,2025-12-27 00:28:00,2025-12-27 01:03:00,completed,qr_login,True
SE000017,U000003,D000005,S0002,2026-02-24 01:57:00,2026-02-24 02:26:00,completed,app_login,True
SE000018,U000003,D000005,S0012,2026-02-24 09:45:00,2026-02-24 10:11:00,completed,app_login,True
SE000019,U000003,D000005,S0011,2026-01-25 20:49:00,2026-01-25 21:22:00,completed,qr_login,True
SE000020,U000003,D000005,S0011,2026-02-24 23:11:00,2026-02-24 23:42:00,completed,app_login,True
SE000021,U000003,D000005,S0009,2025-12-01 11:18:00,2025-12-01 11:25:00,completed,qr_login,True
SE000022,U000003,D000005,S0009,2025-10-22 10:54:00,2025-10-22 11:31:00,completed,qr_login,True
SE000023,U000003,D000005,S0005,2025-11-30 00:12:00,2025-11-30 00:54:00,completed,qr_login,True
SE000024,U000004,D000006,S0002,2025-12-20 20:53:00,2025-12-20 21:36:00,completed,qr_login,True
SE000025,U000004,D000006,S0007,2025-11-04 12:07:00,2025-11-04 12:08:00,completed,qr_login,True
SE000026,U000004,D000006,S0001,2026-03-19 03:34:00,2026-03-19 03:55:00,completed,qr_login,True
SE000027,U000004,D000006,S0010,2026-03-01 22:10:00,2026-03-01 22:39:00,completed,qr_login,True
SE000028,U000004,D000006,S0002,2026-02-16 11:25:00,2026-02-16 11:44:00,abandoned,qr_login,False
SE000029,U000004,D000006,S0005,2025-12-31 16:26:00,2025-12-31 16:33:00,completed,app_login,True
SE000030,U000004,D000006,S0003,2026-02-07 20:03:00,2026-02-07 20:34:00,completed,qr_login,True
SE000031,U000004,D000006,S0006,2025-12-15 18:46:00,2025-12-15 19:14:00,completed,qr_login,True
SE000032,U000004,D000006,S0001,2026-01-18 02:26:00,2026-01-18 03:02:00,completed,qr_login,True
SE000033,U000004,D000006,S0010,2025-10-20 10:13:00,2025-10-20 10:33:00,completed,app_login,True
SE000034,U000004,D000006,S0006,2025-11-05 10:30:00,2025-11-05 11:11:00,completed,app_login,True
SE000035,U000005,D000007,S0004,2026-01-01 17:46:00,2026-01-01 17:51:00,completed,qr_login,True
SE000036,U000005,D000007,S0001,2025-10-26 22:49:00,2025-10-26 23:09:00,completed,qr_login,True
SE000037,U000005,D000007,S0003,2026-04-09 05:19:00,2026-04-09 05:44:00,completed,qr_login,True
SE000038,U000005,D000007,S0005,2025-12-04 21:09:00,2025-12-04 21:14:00,completed,app_login,True
SE000039,U000005,D000007,S0005,2025-11-28 11:07:00,2025-11-28 11:37:00,completed,app_login,True
SE000040,U000005,D000007,S0006,2025-11-22 19:27:00,2025-11-22 19:44:00,completed,app_login,True
SE000041,U000005,D000007,S0005,2025-12-29 07:57:00,2025-12-29 08:18:00,completed,qr_login,True
SE000042,U000005,D000007,S0008,2026-03-08 17:26:00,2026-03-08 18:00:00,completed,app_login,True
SE000043,U000006,D000008,S0004,2026-01-08 23:36:00,2026-01-09 00:11:00,completed,app_login,True
SE000044,U000006,D000008,S0010,2026-03-27 16:52:00,2026-03-27 17:26:00,completed,qr_login,True
SE000045,U000006,D000009,S0005,2026-02-27 19:13:00,2026-02-27 19:33:00,completed,app_login,True
SE000046,U000006,D000009,S0010,2026-01-25 19:45:00,2026-01-25 20:11:00,completed,qr_login,True
SE000047,U000007,D000010,S0003,2026-01-16 19:07:00,2026-01-16 19:39:00,completed,app_login,True
SE000048,U000007,D000010,S0008,2026-03-28 17:09:00,2026-03-28 17:32:00,completed,qr_login,True
SE000049,U000007,D000010,S0011,2025-12-18 16:29:00,2025-12-18 16:41:00,completed,app_login,True
SE000050,U000007,D000010,S0001,2026-02-09 10:15:00,2026-02-09 10:55:00,completed,qr_login,True
SE000051,U000007,D000010,S0009,2026-01-14 10:29:00,2026-01-14 11:14:00,completed,qr_login,True
SE000052,U000007,D000010,S0006,2026-02-27 19:36:00,2026-02-27 20:01:00,completed,qr_login,True
SE000053,U000007,D000010,S0001,2025-11-12 18:22:00,2025-11-12 18:23:00,completed,qr_login,True
SE000054,U000007,D000010,S0010,2026-02-05 20:45:00,2026-02-05 20:49:00,completed,qr_login,True
SE000055,U000007,D000010,S0007,2025-11-23 16:39:00,2025-11-23 16:51:00,completed,qr_login,True
SE000056,U000007,D000010,S0009,2026-02-21 05:42:00,2026-02-21 06:07:00,completed,face_verification,True
SE000057,U000008,D000011,S0008,2026-01-09 14:54:00,2026-01-09 15:28:00,completed,qr_login,True
SE000058,U000008,D000011,S0009,2025-10-21 00:19:00,2025-10-21 00:21:00,completed,face_verification,True
SE000059,U000008,D000011,S0006,2025-11-18 10:19:00,2025-11-18 10:57:00,completed,qr_login,True
SE000060,U000008,D000011,S0011,2025-11-07 20:41:00,2025-11-07 21:00:00,completed,face_verification,True
SE000061,U000008,D000011,S0012,2026-02-13 12:41:00,2026-02-13 12:42:00,completed,qr_login,True
SE000062,U000008,D000011,S0002,2025-11-14 07:50:00,2025-11-14 08:09:00,completed,face_verification,True
SE000063,U000008,D000011,S0010,2025-12-17 10:44:00,2025-12-17 11:19:00,completed,app_login,True
SE000064,U000008,D000011,S0007,2025-11-19 10:01:00,2025-11-19 10:27:00,failed,qr_login,False
SE000065,U000008,D000011,S0012,2025-10-28 08:39:00,2025-10-28 08:46:00,completed,qr_login,True
SE000066,U000008,D000011,S0003,2026-03-23 23:51:00,2026-03-24 00:35:00,completed,qr_login,True
SE000067,U000008,D000011,S0010,2025-11-25 20:24:00,2025-11-25 20:46:00,failed,qr_login,False
SE000068,U000009,D000012,S0002,2026-01-23 18:40:00,2026-01-23 19:21:00,completed,qr_login,True
SE000069,U000009,D000012,S0002,2026-03-14 17:05:00,2026-03-14 17:24:00,completed,app_login,True
SE000070,U000009,D000012,S0004,2026-02-09 18:33:00,2026-02-09 19:02:00,completed,app_login,True
SE000071,U000009,D000012,S0004,2026-01-12 22:43:00,2026-01-12 23:21:00,completed,app_login,True
SE000072,U000010,D000013,S0008,2026-03-03 15:17:00,2026-03-03 15:34:00,completed,qr_login,True
SE000073,U000010,D000013,S0002,2026-03-07 07:51:00,2026-03-07 07:55:00,completed,qr_login,True
SE000074,U000010,D000013,S0003,2025-12-20 10:17:00,2025-12-20 10:44:00,completed,qr_login,True
SE000075,U000010,D000013,S0008,2025-10-25 19:17:00,2025-10-25 19:32:00,completed,qr_login,True
SE000076,U000011,D000014,S0012,2025-11-21 06:02:00,2025-11-21 06:47:00,completed,qr_login,True
SE000077,U000011,D000014,S0007,2026-03-08 21:01:00,2026-03-08 21:31:00,completed,app_login,True
SE000078,U000011,D000014,S0009,2026-02-19 18:19:00,2026-02-19 18:26:00,completed,qr_login,True
SE000079,U000011,D000014,S0004,2026-03-16 12:30:00,2026-03-16 12:55:00,completed,qr_login,True
SE000080,U000011,D000014,S0001,2026-03-10 06:41:00,2026-03-10 07:08:00,completed,qr_login,True
SE000081,U000011,D000014,S0008,2025-11-17 08:46:00,2025-11-17 09:11:00,completed,app_login,True
SE000082,U000011,D000014,S0010,2026-01-26 18:22:00,2026-01-26 18:29:00,completed,qr_login,True
SE000083,U000011,D000014,S0004,2025-10-27 18:27:00,2025-10-27 18:36:00,completed,qr_login,True
SE000084,U000011,D000014,S0008,2025-12-21 01:06:00,2025-12-21 01:21:00,completed,app_login,True
SE000085,U000011,D000014,S0003,2026-03-21 19:24:00,2026-03-21 19:46:00,completed,app_login,True
SE000086,U000011,D000014,S0012,2026-02-02 17:31:00,2026-02-02 17:56:00,completed,app_login,True
SE000087,U000011,D000014,S0007,2025-11-29 09:18:00,2025-11-29 09:27:00,completed,qr_login,True
SE000088,U000012,D000015,S0008,2025-12-29 01:33:00,2025-12-29 02:11:00,completed,qr_login,True
SE000089,U000012,D000015,S0001,2026-01-02 21:05:00,2026-01-02 21:21:00,abandoned,qr_login,False
SE000090,U000012,D000015,S0001,2026-01-20 03:48:00,2026-01-20 04:24:00,completed,app_login,True
SE000091,U000012,D000015,S0006,2026-01-15 08:04:00,2026-01-15 08:05:00,completed,face_verification,True
SE000092,U000012,D000015,S0004,2025-11-18 16:58:00,2025-11-18 17:42:00,completed,qr_login,True
SE000093,U000012,D000015,S0002,2026-02-07 15:48:00,2026-02-07 16:00:00,completed,qr_login,True
SE000094,U000013,D000016,S0007,2026-03-17 05:43:00,2026-03-17 06:19:00,completed,app_login,True
SE000095,U000013,D000016,S0008,2026-01-19 05:07:00,2026-01-19 05:50:00,completed,app_login,True
SE000096,U000013,D000017,S0002,2026-02-23 09:49:00,2026-02-23 10:10:00,completed,qr_login,True
SE000097,U000013,D000017,S0007,2026-01-24 20:53:00,2026-01-24 21:36:00,completed,face_verification,True
SE000098,U000013,D000016,S0005,2026-01-13 02:07:00,2026-01-13 02:27:00,completed,qr_login,True
SE000099,U000013,D000017,S0009,2026-02-13 09:32:00,2026-02-13 10:17:00,completed,qr_login,True
SE000100,U000013,D000017,S0003,2025-10-22 05:28:00,2025-10-22 05:45:00,completed,app_login,True
SE000101,U000014,D000018,S0001,2026-03-03 13:14:00,2026-03-03 13:54:00,completed,qr_login,True
SE000102,U000014,D000018,S0002,2026-02-10 04:10:00,2026-02-10 04:51:00,completed,qr_login,True
SE000103,U000014,D000018,S0008,2025-12-08 18:33:00,2025-12-08 18:47:00,completed,face_verification,True
SE000104,U000014,D000018,S0001,2025-11-25 23:15:00,2025-11-25 23:48:00,completed,app_login,True
SE000105,U000014,D000018,S0003,2026-01-28 14:58:00,2026-01-28 15:24:00,completed,app_login,True
SE000106,U000014,D000018,S0002,2026-03-22 08:36:00,2026-03-22 08:48:00,completed,qr_login,True
SE000107,U000014,D000018,S0007,2025-11-14 00:58:00,2025-11-14 00:59:00,completed,app_login,True
SE000108,U000015,D000019,S0009,2025-12-10 04:10:00,2025-12-10 04:32:00,completed,qr_login,True
SE000109,U000015,D000019,S0005,2025-10-14 04:34:00,2025-10-14 05:15:00,completed,qr_login,True
SE000110,U000015,D000019,S0005,2026-04-10 07:55:00,2026-04-10 08:15:00,completed,qr_login,True
SE000111,U000015,D000019,S0006,2026-02-03 04:25:00,2026-02-03 04:51:00,completed,qr_login,True
SE000112,U000015,D000019,S0010,2026-02-25 22:21:00,2026-02-25 22:47:00,completed,qr_login,True
