user_id,user_created_at,account_status,account_age_days,age_band,primary_region,baseline_login_frequency_band,baseline_travel_profile
U000001,2019-02-08 08:12:00,active,2619,35_49,SG_EAST,low,local_only
U000002,2018-01-07 08:31:00,active,3016,65_plus,SG_CENTRAL,high,occasional_travel
U000003,2025-12-02 10:59:00,active,130,25_34,SG_NORTHEAST,high,local_only
U000004,2019-12-26 05:13:00,active,2298,65_plus,SG_NORTH,low,occasional_travel
U000005,2019-09-02 02:31:00,active,2413,18_24,SG_EAST,high,occasional_travel
U000006,2022-06-18 02:31:00,active,1393,35_49,SG_CENTRAL,low,occasional_travel
U000007,2025-03-10 23:45:00,active,396,65_plus,SG_WEST,low,frequent_travel
U000008,2021-02-14 17:42:00,active,1881,50_64,SG_CENTRAL,high,occasional_travel
U000009,2016-12-21 14:33:00,active,3397,35_49,SG_NORTHEAST,low,frequent_travel
U000010,2025-07-01 10:27:00,active,284,35_49,SG_CENTRAL,low,local_only
U000011,2022-01-06 02:31:00,active,1556,35_49,SG_EAST,medium,occasional_travel
U000012,2023-12-04 13:08:00,active,858,18_24,SG_NORTHEAST,high,local_only
U000013,2020-04-15 03:39:00,active,2187,50_64,SG_WEST,high,frequent_travel
U000014,2020-01-12 04:31:00,active,2281,18_24,SG_EAST,low,occasional_travel
U000015,2021-10-11 02:52:00,active,1643,65_plus,SG_WEST,low,frequent_travel
U000016,2020-09-04 22:30:00,active,2044,50_64,SG_EAST,medium,local_only
U000017,2023-07-05 16:51:00,active,1010,65_plus,SG_NORTH,high,occasional_travel
U000018,2022-03-21 04:31:00,inactive,1482,25_34,SG_NORTHEAST,medium,local_only
U000019,2017-10-20 10:24:00,active,3095,25_34,SG_EAST,high,occasional_travel
U000020,2019-08-04 09:50:00,active,2442,65_plus,SG_NORTH,high,occasional_travel
U000021,2020-01-27 11:37:00,active,2266,18_24,SG_NORTHEAST,medium,frequent_travel
U000022,2022-06-18 08:12:00,active,1393,25_34,SG_NORTH,low,frequent_travel
U000023,2016-06-15 03:01:00,inactive,3587,25_34,SG_NORTHEAST,low,frequent_travel
U000024,2022-12-05 14:12:00,active,1222,25_34,SG_EAST,medium,local_only
U000025,2020-03-23 17:54:00,active,2209,65_plus,SG_WEST,medium,local_only
U000026,2025-01-07 23:37:00,active,458,35_49,SG_EAST,low,local_only
U000027,2016-06-05 16:39:00,locked,3596,18_24,SG_NORTH,low,frequent_travel
U000028,2017-09-09 07:43:00,active,3136,50_64,SG_NORTHEAST,low,occasional_travel
U000029,2020-05-10 15:18:00,active,2161,25_34,SG_NORTHEAST,high,frequent_travel
U000030,2024-01-09 01:22:00,active,823,35_49,SG_NORTH,high,occasional_travel
U000031,2024-12-02 03:33:00,active,495,35_49,SG_CENTRAL,high,frequent_travel
U000032,2023-09-11 15:55:00,active,942,18_24,SG_CENTRAL,low,local_only
U000033,2025-12-04 00:44:00,active,128,25_34,SG_WEST,high,occasional_travel
U000034,2023-11-15 17:36:00,active,877,65_plus,SG_NORTHEAST,medium,local_only
U000035,2017-06-23 19:52:00,active,3213,25_34,SG_CENTRAL,low,frequent_travel
U000036,2021-06-10 23:55:00,active,1765,50_64,SG_CENTRAL,high,frequent_travel
U000037,2019-01-12 08:39:00,active,2646,35_49,SG_CENTRAL,low,local_only
U000038,2024-02-21 17:42:00,active,779,50_64,SG_EAST,medium,occasional_travel
U000039,2023-06-23 09:26:00,active,1023,65_plus,SG_CENTRAL,low,frequent_travel
U000040,2020-03-19 11:30:00,suspended,2214,25_34,SG_EAST,medium,occasional_travel
U000041,2020-11-17 04:43:00,active,1971,18_24,SG_EAST,medium,local_only
U000042,2021-11-24 02:57:00,active,1599,50_64,SG_WEST,medium,frequent_travel
U000043,2018-01-30 17:02:00,active,2992,50_64,SG_EAST,low,occasional_travel
U000044,2023-11-02 10:01:00,active,891,65_plus,SG_CENTRAL,high,occasional_travel
U000045,2025-08-20 10:18:00,active,234,65_plus,SG_NORTHEAST,low,local_only
U000046,2020-07-31 09:16:00,active,2080,18_24,SG_NORTHEAST,low,frequent_travel
U000047,2016-08-11 03:59:00,active,3530,65_plus,SG_EAST,high,frequent_travel
U000048,2025-10-30 14:52:00,active,162,65_plus,SG_NORTHEAST,high,occasional_travel
U000049,2023-05-09 05:02:00,active,1068,35_49,SG_EAST,medium,occasional_travel
U000050,2024-10-21 13:05:00,active,536,50_64,SG_WEST,low,local_only
U000051,2021-02-18 14:48:00,inactive,1877,18_24,SG_CENTRAL,high,local_only
U000052,2020-08-08 02:57:00,active,2072,35_49,SG_CENTRAL,low,occasional_travel
U000053,2023-01-30 06:37:00,active,1167,65_plus,SG_WEST,high,frequent_travel
U000054,2020-05-06 11:44:00,active,2166,65_plus,SG_WEST,high,local_only
U000055,2016-06-06 07:25:00,active,3596,18_24,SG_NORTHEAST,low,occasional_travel
U000056,2023-02-11 15:22:00,active,1154,35_49,SG_EAST,high,frequent_travel
U000057,2016-09-17 03:00:00,active,3493,35_49,SG_CENTRAL,low,frequent_travel
U000058,2021-07-12 02:34:00,active,1734,35_49,SG_EAST,high,occasional_travel
U000059,2024-06-18 20:56:00,active,661,50_64,SG_NORTHEAST,low,local_only
U000060,2025-06-06 12:25:00,active,308,65_plus,SG_CENTRAL,medium,frequent_travel
U000061,2020-01-30 06:57:00,active,2263,18_24,SG_WEST,medium,local_only
U000062,2022-04-07 04:50:00,active,1465,18_24,SG_WEST,high,occasional_travel
U000063,2019-04-26 06:44:00,active,2542,25_34,SG_EAST,low,occasional_travel
U000064,2025-12-31 05:53:00,active,101,35_49,SG_NORTH,high,frequent_travel
U000065,2017-03-09 03:32:00,active,3320,18_24,SG_NORTH,low,occasional_travel
U000066,2023-10-13 05:12:00,active,911,50_64,SG_WEST,medium,local_only
U000067,2023-10-11 11:12:00,active,913,50_64,SG_WEST,medium,local_only
U000068,2017-08-09 02:29:00,active,3167,65_plus,SG_NORTH,high,frequent_travel
U000069,2022-07-25 11:04:00,active,1356,35_49,SG_EAST,high,occasional_travel
U000070,2025-11-06 08:18:00,active,156,35_49,SG_WEST,medium,frequent_travel
U000071,2020-07-17 08:04:00,active,2094,65_plus,SG_EAST,medium,local_only
