event_id,target_login_fraud_flag,fraud_scenario,split_name,ml_score,ml_predicted_flag
E00044028,0,normal_returning_login_and_normal_usage,train,0.12837307,0
E00037858,0,legitimate_first_time_or_infrequent_service_usage,train,0.14074227,0
E00137300,0,normal_returning_login_and_normal_usage,train,0.130393,0
E00154236,0,relinquished_account_access_and_operation,train,0.10338078,0
E00101320,0,social_engineering_or_malicious_approval,train,0.9363014,1
E00103958,0,legitimate_travel_or_device_change_login,train,0.0028531745,0
E00045907,0,legitimate_travel_or_device_change_login,train,0.004168195,0
E00113343,0,normal_returning_login_and_normal_usage,train,0.11305355,0
E00124835,1,social_engineering_or_malicious_approval,train,0.9411523,1
E00088901,0,legitimate_first_time_or_infrequent_service_usage,train,0.10721275,0
E00063187,0,normal_returning_login_and_normal_usage,train,0.14690234,0
E00062028,0,normal_returning_login_and_normal_usage,train,0.13721319,0
E00001019,0,normal_returning_login_and_normal_usage,train,0.07935051,0
E00059753,0,normal_returning_login_and_normal_usage,train,0.060824674,0
E00083728,0,normal_returning_login_and_normal_usage,train,0.058291096,0
E00141014,1,social_engineering_or_malicious_approval,train,0.9216747,1
E00054178,0,normal_returning_login_and_normal_usage,train,0.061893314,0
E00078180,0,normal_returning_login_and_normal_usage,train,0.13210204,0
E00124218,0,legitimate_travel_or_device_change_login,train,0.00421566,0
E00035723,0,normal_returning_login_and_normal_usage,train,0.09258674,0
E00135610,0,normal_returning_login_and_normal_usage,train,0.09108178,0
E00056284,0,normal_returning_login_and_normal_usage,train,0.16142258,0
E00071044,0,normal_returning_login_and_normal_usage,train,0.123579964,0
E00023281,0,normal_returning_login_and_normal_usage,train,0.15668756,0
E00034370,0,normal_returning_login_and_normal_usage,train,0.0969061,0
E00086136,0,normal_returning_login_and_normal_usage,train,0.16174737,0
E00015332,0,normal_returning_login_and_normal_usage,train,0.09370368,0
E00130808,1,repeated_attempts_before_success,train,0.99913317,1
E00011456,0,normal_returning_login_and_normal_usage,train,0.11487379,0
E00080437,0,normal_returning_login_and_normal_usage,train,0.044015888,0
E00048569,0,social_engineering_or_malicious_approval,train,0.92063975,1
E00064408,0,normal_returning_login_and_normal_usage,train,0.10831073,0
E00141786,0,normal_returning_login_and_normal_usage,train,0.10587617,0
E00087706,0,normal_returning_login_and_normal_usage,train,0.11945813,0
E00090882,0,normal_returning_login_and_normal_usage,train,0.09481027,0
E00090618,0,relinquished_account_access_and_operation,train,0.18983723,0
E00050751,0,legitimate_first_time_or_infrequent_service_usage,train,0.072744444,0
E00118532,0,normal_returning_login_and_normal_usage,train,0.079390526,0
E00055326,0,normal_returning_login_and_normal_usage,train,0.13726799,0
E00153182,0,normal_returning_login_and_normal_usage,train,0.07812036,0
E00070066,0,normal_returning_login_and_normal_usage,train,0.09342599,0
E00028971,1,repeated_attempts_before_success,train,0.9987771,1
E00070248,0,normal_returning_login_and_normal_usage,train,0.1360854,0
E00017995,0,relinquished_account_access_and_operation,train,0.077407576,0
E00114979,0,normal_returning_login_and_normal_usage,train,0.15223992,0
E00113110,0,normal_returning_login_and_normal_usage,train,0.07440172,0
E00089042,0,normal_returning_login_and_normal_usage,train,0.09534369,0
E00152509,0,normal_returning_login_and_normal_usage,train,0.07738039,0
E00081468,0,normal_returning_login_and_normal_usage,train,0.062402364,0
E00030813,0,normal_returning_login_and_normal_usage,train,0.24302544,0
E00152055,0,legitimate_travel_or_device_change_login,train,0.004296951,0
E00108656,0,normal_returning_login_and_normal_usage,train,0.10827187,0
E00029471,0,legitimate_travel_or_device_change_login,train,0.0039789295,0
E00066644,0,normal_returning_login_and_normal_usage,train,0.0566244,0
E00091253,0,normal_returning_login_and_normal_usage,train,0.086380094,0
E00099427,0,normal_returning_login_and_normal_usage,train,0.15773374,0
E00024635,0,normal_returning_login_and_normal_usage,train,0.067268245,0
E00094279,0,legitimate_travel_or_device_change_login,train,0.0029383195,0
E00100451,1,repeated_attempts_before_success,train,0.99899215,1
E00091909,0,normal_returning_login_and_normal_usage,train,0.16194056,0
E00026277,0,legitimate_travel_or_device_change_login,train,0.0022898244,0
E00138527,0,legitimate_travel_or_device_change_login,train,0.0048713107,0
E00144393,0,social_engineering_or_malicious_approval,train,0.94011253,1
E00079758,0,normal_returning_login_and_normal_usage,train,0.07822537,0
E00056117,0,normal_returning_login_and_normal_usage,train,0.31807345,0
E00062931,0,normal_returning_login_and_normal_usage,train,0.038587697,0
E00147327,0,normal_returning_login_and_normal_usage,train,0.13305123,0
E00111913,0,normal_returning_login_and_normal_usage,train,0.09333943,0
E00127359,0,normal_returning_login_and_normal_usage,train,0.089466356,0
E00075246,0,normal_returning_login_and_normal_usage,train,0.115102835,0
E00125034,0,normal_returning_login_and_normal_usage,train,0.09689959,0
E00013616,0,normal_returning_login_and_normal_usage,train,0.08176926,0
E00037431,0,normal_returning_login_and_normal_usage,train,0.06833726,0
E00087904,1,social_engineering_or_malicious_approval,train,0.92528397,1
E00044917,1,social_engineering_or_malicious_approval,train,0.9126219,1
E00102338,0,legitimate_first_time_or_infrequent_service_usage,train,0.104758695,0
E00122961,0,normal_returning_login_and_normal_usage,train,0.05637458,0
E00141445,0,normal_returning_login_and_normal_usage,train,0.06185841,0
E00060857,0,social_engineering_or_malicious_approval,train,0.9142299,1
E00022771,0,normal_returning_login_and_normal_usage,train,0.055979688,0
E00076185,0,normal_returning_login_and_normal_usage,train,0.084760986,0
E00029733,0,normal_returning_login_and_normal_usage,train,0.06034471,0
E00066721,0,normal_returning_login_and_normal_usage,train,0.06353815,0
E00005793,0,normal_returning_login_and_normal_usage,train,0.11578587,0
E00086161,0,normal_returning_login_and_normal_usage,train,0.069850296,0
E00062306,1,social_engineering_or_malicious_approval,train,0.92186606,1
E00110093,0,normal_returning_login_and_normal_usage,train,0.09710727,0
E00116442,0,normal_returning_login_and_normal_usage,train,0.20697615,0
E00004975,0,normal_returning_login_and_normal_usage,train,0.077498615,0
E00121754,0,legitimate_first_time_or_infrequent_service_usage,train,0.07918,0
E00124484,0,normal_returning_login_and_normal_usage,train,0.08342715,0
E00056954,0,normal_returning_login_and_normal_usage,train,0.12112193,0
E00108376,0,normal_returning_login_and_normal_usage,train,0.11782963,0
E00018463,0,normal_returning_login_and_normal_usage,train,0.07253994,0
E00066736,0,normal_returning_login_and_normal_usage,train,0.106931955,0
E00042802,0,normal_returning_login_and_normal_usage,train,0.076727785,0
E00059662,0,legitimate_first_time_or_infrequent_service_usage,train,0.0716274,0
E00023056,0,normal_returning_login_and_normal_usage,train,0.18333852,0
E00129185,0,normal_returning_login_and_normal_usage,train,0.22690447,0
E00117717,0,normal_returning_login_and_normal_usage,train,0.063909866,0
E00028311,0,normal_returning_login_and_normal_usage,train,0.13276334,0
E00072934,0,normal_returning_login_and_normal_usage,train,0.16437839,0
