session_id,target_post_login_fraud_flag,ml_score,split_name,ml_predicted_flag
SE011325,0,0.15491268,train,0
SE009726,0,0.16504195,train,0
SE035384,0,0.17349488,train,0
SE039755,1,0.99953425,train,1
SE026087,1,0.9994462,train,1
SE026779,0,0.000696843,train,0
SE011809,0,0.00066002994,train,0
SE029205,0,0.15582089,train,0
SE032163,1,0.9996766,train,1
SE022873,0,0.05670089,train,0
SE016251,0,0.20069525,train,0
SE015950,0,0.18280922,train,0
SE000259,0,0.13310744,train,0
SE015368,0,0.16620116,train,0
SE021533,0,0.11362086,train,0
SE036340,1,0.9995395,train,1
SE013935,0,0.20053452,train,0
SE020112,0,0.12531723,train,0
SE032002,0,0.0009326391,train,0
SE009177,0,0.16325656,train,0
SE034954,0,0.16811775,train,0
SE014481,0,0.18994823,train,0
SE018259,0,0.09535249,train,0
SE005972,0,0.21518114,train,0
SE008836,0,0.133703,train,0
SE022155,0,0.16811775,train,0
SE003947,0,0.18927425,train,0
SE002951,0,0.17075025,train,0
SE020702,0,0.16783121,train,0
SE012493,1,0.99942005,train,1
SE016567,0,0.20705406,train,0
SE036534,0,0.17969917,train,0
SE022562,0,0.24057288,train,0
SE023376,0,0.2111368,train,0
SE023311,1,0.9996898,train,1
SE013056,0,0.19153908,train,0
SE030555,0,0.19350404,train,0
SE014228,0,0.17297444,train,0
SE039479,0,0.16547091,train,0
SE018018,0,0.13003038,train,0
SE018060,0,0.14483967,train,0
SE004629,1,0.9996251,train,1
SE029638,0,0.15380968,train,0
SE029145,0,0.13369757,train,0
SE022908,0,0.10520048,train,0
SE039314,0,0.16992252,train,0
SE020962,0,0.14281006,train,0
SE007913,0,0.16091023,train,0
SE039202,0,0.00062909187,train,0
SE027988,0,0.18104813,train,0
SE007572,0,0.0007228901,train,0
SE017145,0,0.15518235,train,0
SE023470,0,0.1387252,train,0
SE025594,0,0.13981338,train,0
SE006321,0,0.12651597,train,0
SE024254,0,0.00060040446,train,0
SE023639,0,0.1387252,train,0
SE006744,0,0.00045284262,train,0
SE035709,0,0.00075256,train,0
SE037220,1,0.99929667,train,1
SE020523,0,0.20937575,train,0
SE014436,0,0.21018863,train,0
SE016187,0,0.22323678,train,0
SE037976,0,0.15721956,train,0
SE028833,0,0.10426838,train,0
SE032811,0,0.14788379,train,0
SE019339,0,0.1622145,train,0
SE032215,0,0.1640082,train,0
SE003503,0,0.11493605,train,0
SE009613,0,0.13656098,train,0
SE022616,1,0.9995912,train,1
SE011553,1,0.9995459,train,1
SE026349,0,0.16772279,train,0
SE031679,0,0.16508105,train,0
SE036446,0,0.12040009,train,0
SE015652,1,0.99961203,train,1
SE005847,0,0.16840649,train,0
SE019588,0,0.15001692,train,0
SE007640,0,0.12891982,train,0
SE017165,0,0.14385733,train,0
SE001492,0,0.20907855,train,0
SE022162,0,0.16965811,train,0
SE016021,1,0.99950325,train,1
SE028365,0,0.14335124,train,0
SE030020,0,0.14822224,train,0
SE001281,0,0.1614201,train,0
SE031362,0,0.13298962,train,0
SE032070,0,0.068849474,train,0
SE014657,0,0.14421079,train,0
SE027914,0,0.20863102,train,0
SE004746,0,0.17470892,train,0
SE017169,0,0.17673157,train,0
SE011003,0,0.22384068,train,0
SE015344,0,0.14167055,train,0
SE005914,0,0.1354131,train,0
SE033288,0,0.17195003,train,0
SE030346,0,0.18925694,train,0
